key,value
"net_benefit_direct","[-670.1 -670.1 -670.1 -670.1 -670.1 -670.1 -670.1 -717.35 -717.35 -938.05 -938.05 -938.05 -1079.8 -1079.8 -1079.8 -711.25 -711.25 -711.25 -711.25 -711.24817148 -711.247771009 -711.247282829 -900.246687732 -900.2459623 -900.245077989 -2058.994 -17367.9592838 -17367.7237021 -24170.1252019 -24170.125198 -15670.1251941 -15670.1251903 -15670.1251866 -15670.1251829 -15670.1251793 -102960.125176 -102960.154154 -102960.189853 -102960.233835 -102960.288032 -68940.3548271 -68940.4371681 -68940.5386994 -68940.6639336 -68940.8184633 -80576.0092294 -80576.1782145 -80576.3757487 -80576.6067393 -80576.8769642 -80577.1932355 -80577.5635963 -55327.9975585 -55328.5063906 -55329.1034694 -55329.8047085 -55330.6290853 -55331.5992896 -55332.742528 -55334.0915226 -46185.6857601 -46187.0665775 -46188.6339067 -46190.414728 -46192.4403032 -46194.7469292 -46197.3768384 -46200.3792763 -46203.8117923 -46207.741791 -38087.2483979 -38092.4247092 -38098.3805065 -38105.2455413 -38113.1735109 -38122.3468813 -38132.9827432 -38145.339932 -38159.7276954 -38176.5162547 -113521.149689 -113544.161665 -113571.194663 -113603.023488 -113640.584047 -113685.008602 -113737.668969 -113800.229505 -113874.71211 -113963.576046 -114069.815954 -114197.082301 -114349.829433 -114533.497623 -114754.73701 -115021.683128 -115344.296022 -115734.777716 -116208.086269 -116782.568877 -117480.741762]"
"net_benefit_total","[-671.4167 -671.4167 -671.4167 -671.4167 -671.4167 -671.4167 -671.4167 -719.03245 -719.03245 -922.39685 -903.15935 -883.92185 -1007.5316 -988.2941 -969.0566 -578.41625 -559.17875 -539.94125 -520.70375 -501.455437349 -482.215569231 -462.975182463 -634.197163453 -614.955373732 -595.712644503 -1708.08202 -17156.6692313 -17097.5636365 -23922.1777019 -23883.702698 -15235.5026941 -15197.0276903 -15158.5526866 -15120.0776829 -15081.6026793 -103401.925176 -103303.637236 -103204.863814 -103105.492702 -103005.385765 -68445.4729423 -68343.3448798 -68239.8438473 -68134.6525671 -68027.3804617 -80888.4842294 -80799.4753231 -80708.4661827 -80615.125111 -80519.0654341 -80419.8363988 -80316.9125663 -54228.1814541 -54115.9291386 -53997.8234847 -53930.6071115 -53855.4371442 -53770.9962267 -53675.7491864 -53567.9071453 -43910.3982601 -43783.3764767 -43645.5683782 -43495.6620576 -43332.1865204 -43172.730004 -42996.2060123 -42800.5417972 -42583.4139923 -42342.2185706 -33583.2872624 -33284.8500305 -32952.4931595 -32582.1124671 -32169.1110991 -31708.3413146 -31194.0396144 -30619.7545011 -29978.2661055 -29261.4968407 -105448.624689 -104533.885657 -103513.439378 -102374.671784 -101103.496218 -99684.1893497 -98099.2107081 -96329.0047133 -94351.7841096 -92143.2938423 -89676.5545984 -86921.5855147 -83845.1059629 -80410.2168814 -76576.0628916 -72297.4774615 -67524.6147334 -62202.5734068 -56271.0203695 -49663.8247364 -42347.1917619]"
"net_cum_direct","[-670.1 -1340.2 -2010.3 -2680.4 -3350.5 -4020.6 -4690.7 -5408.05 -6125.4 -7063.45 -8001.5 -8939.55 -10019.35 -11099.15 -12178.95 -12890.2 -13601.45 -14312.7 -15023.95 -15735.1981715 -16446.4459425 -17157.6932253 -18057.9399131 -18958.1858754 -19858.4309533 -21917.4249533 -39285.3842372 -56653.1079393 -80823.2331412 -104993.358339 -120663.483533 -136333.608724 -152003.73391 -167673.859093 -183343.984272 -286304.109448 -389264.263602 -492224.453455 -595184.68729 -698144.975322 -767085.330149 -836025.767317 -904966.306017 -973906.96995 -1042847.78841 -1123423.79764 -1203999.97586 -1284576.35161 -1365152.95835 -1445729.83531 -1526307.02855 -1606884.59214 -1662212.5897 -1717541.09609 -1772870.19956 -1828200.00427 -1883530.63335 -1938862.23264 -1994194.97517 -2049529.06669 -2095714.75245 -2141901.81903 -2188090.45294 -2234280.86767 -2280473.30797 -2326668.0549 -2372865.43174 -2419065.81101 -2465269.62281 -2511477.3646 -2549564.61299 -2587657.0377 -2625755.41821 -2663860.66375 -2701973.83726 -2740096.18414 -2778229.16689 -2816374.50682 -2854534.23451 -2892710.75077 -3006231.90046 -3119776.06212 -3233347.25679 -3346950.28027 -3460590.86432 -3574275.87292 -3688013.54189 -3801813.7714 -3915688.48351 -4029652.05955 -4143721.87551 -4257918.95781 -4372268.78724 -4486802.28486 -4601557.02187 -4716578.705 -4831923.00102 -4947657.77874 -5063865.86501 -5180648.43388 -5298129.17565]"
"net_cum_total","[-671.4167 -1342.8334 -2014.2501 -2685.6668 -3357.0835 -4028.5002 -4699.9169 -5418.94935 -6137.9818 -7060.37865 -7963.538 -8847.45985 -9854.99145 -10843.28555 -11812.34215 -12390.7584 -12949.93715 -13489.8784 -14010.58215 -14512.0375873 -14994.2531566 -15457.228339 -16091.4255025 -16706.3808762 -17302.0935207 -19010.1755407 -36166.844772 -53264.4084085 -77186.5861104 -101070.288808 -116305.791502 -131502.819193 -146661.371879 -161781.449562 -176863.052242 -280264.977417 -383568.614654 -486773.478468 -589878.97117 -692884.356934 -761329.829877 -829673.174756 -897913.018604 -966047.671171 -1034075.05163 -1114963.53586 -1195763.01119 -1276471.47737 -1357086.60248 -1437605.66791 -1518025.50431 -1598342.41688 -1652570.59833 -1706686.52747 -1760684.35096 -1814614.95807 -1868470.39521 -1922241.39144 -1975917.14062 -2029485.04777 -2073395.44603 -2117178.82251 -2160824.39088 -2204320.05294 -2247652.23946 -2290824.96947 -2333821.17548 -2376621.71728 -2419205.13127 -2461547.34984 -2495130.6371 -2528415.48713 -2561367.98029 -2593950.09276 -2626119.20386 -2657827.54517 -2689021.58479 -2719641.33929 -2749619.60539 -2778881.10223 -2884329.72692 -2988863.61258 -3092377.05196 -3194751.72374 -3295855.21996 -3395539.40931 -3493638.62002 -3589967.62473 -3684319.40884 -3776462.70268 -3866139.25728 -3953060.8428 -4036905.94876 -4117316.16564 -4193892.22853 -4266189.70599 -4333714.32073 -4395916.89413 -4452187.9145 -4501851.73924 -4544198.931]"
"net_k","[-590.4167 -590.4167 -590.4167 -590.4167 -590.4167 -590.4167 -590.4167 -615.53245 -615.53245 -701.89685 -682.65935 -663.42185 -719.5316 -700.2941 -681.0566 -465.91625 -446.67875 -427.44125 -408.20375 -388.955437349 -369.715569231 -350.475182463 -431.697163453 -412.455373732 -393.212644503 -1168.08202 -9326.66923126 -9267.5636365 -12852.1777019 -12813.702698 -8215.50269409 -8177.02769028 -8138.55268655 -8100.07768289 -8061.60267931 -54801.9251758 -54703.6372364 -54604.8638139 -54505.4927022 -54405.3857646 -36045.4729423 -35943.3448798 -35839.8438473 -35734.6525671 -35627.3804617 -43388.4842294 -43299.4753231 -43208.4661827 -43115.125111 -43019.0654341 -42919.8363988 -42816.9125663 -29228.1814541 -29115.9291386 -28997.8234847 -28930.6071115 -28855.4371442 -28770.9962267 -28675.7491864 -28567.9071453 -25160.3982601 -25033.3764767 -24895.5683782 -24745.6620576 -24582.1865204 -24422.730004 -24246.2060123 -24050.5417972 -23833.4139923 -23592.2185706 -21083.2872624 -20784.8500305 -20452.4931595 -20082.1124671 -19669.1110991 -19208.3413146 -18694.0396144 -18119.7545011 -17478.2661055 -16761.4968407 -64198.6246888 -63283.8856569 -62263.4393782 -61124.6717838 -59853.4962183 -58434.1893497 -56849.2107081 -55079.0047133 -53101.7841096 -50893.2938423 -48426.5545984 -45671.5855147 -42595.1059629 -39160.2168814 -35326.0628916 -31047.4774615 -26274.6147334 -20952.5734068 -15021.0203695 -8413.82473638 -1097.19176195]"
"net_old","[-671.4167 -671.4167 -671.4167 -671.4167 -671.4167 -671.4167 -671.4167 -719.03245 -719.03245 -922.39685 -903.15935 -883.92185 -1007.5316 -988.2941 -969.0566 -578.41625 -559.17875 -539.94125 -520.70375 -501.455437349 -482.215569231 -462.975182463 -634.197163453 -614.955373732 -595.712644503 -11231.52202 -26680.1092313 -26621.0036365 -33445.6177019 -33407.142698 -24758.9426941 -24720.4676903 -24681.9926866 -24643.5176829 -24605.0426793 -204957.025176 -204858.737236 -204759.963814 -204660.592702 -204560.485765 -170000.572942 -169898.44488 -169794.943847 -169689.752567 -169582.480462 -80888.4842294 -80799.4753231 -80708.4661827 -80615.125111 -80519.0654341 -80419.8363988 -80316.9125663 -54228.1814541 -54115.9291386 -53997.8234847 -53930.6071115 -53855.4371442 -53770.9962267 -53675.7491864 -53567.9071453 -43910.3982601 -43783.3764767 -43645.5683782 -43495.6620576 -43332.1865204 -43172.730004 -42996.2060123 -42800.5417972 -42583.4139923 -42342.2185706 -33583.2872624 -33284.8500305 -32952.4931595 -32582.1124671 -32169.1110991 -31708.3413146 -31194.0396144 -30619.7545011 -29978.2661055 -29261.4968407 -105448.624689 -104533.885657 -103513.439378 -102374.671784 -101103.496218 -99684.1893497 -98099.2107081 -96329.0047133 -94351.7841096 -92143.2938423 -89676.5545984 -86921.5855147 -83845.1059629 -80410.2168814 -76576.0628916 -72297.4774615 -67524.6147334 -62202.5734068 -56271.0203695 -49663.8247364 -42347.1917619]"
"npv_canister","[-934417.783338 -910858.972817 -900529.340511]"
"npv_direct","[-670.1 -1320.68252427 -1952.31604298 -2565.55246891 -3160.92763972 -3738.96178614 -4300.15998654 -4883.4311822 -5449.71389644 -6168.65111221 -6866.64840908 -7544.3156876 -8301.66568223 -9036.95693915 -9750.83194588 -10207.356256 -10650.5837415 -11080.9016886 -11498.6861033 -11904.300997 -12298.1016431 -12680.432105 -13150.2641002 -13606.4113009 -14049.2722257 -15032.6592272 -23086.0903735 -30904.8495077 -41469.0493547 -51725.5540588 -58181.4381588 -64479.8616693 -70624.6650928 -76619.5952607 -82468.3076183 -119959.822924 -156536.921322 -192221.907741 -227036.54351 -261002.0597 -283190.057762 -304836.910993 -325955.823297 -346559.677607 -366661.043942 -389581.91045 -411943.77833 -433760.288282 -455044.749252 -475810.146667 -496069.150492 -515834.123119 -529074.586138 -541992.229833 -554594.945048 -566890.432797 -578886.209326 -590589.611151 -602007.800065 -613147.768148 -622219.176003 -631069.594601 -639704.442339 -648129.008835 -656348.458529 -664367.834268 -672192.060893 -679825.948827 -687274.197709 -694541.400064 -700385.373612 -706087.586083 -711651.590004 -717080.86465 -722378.819997 -727548.800973 -732618.823878 -737591.045321 -742467.610888 -747250.660924 -761194.592347 -774867.884513 -788276.264466 -801425.419084 -814321.0094 -826968.687322 -839374.115253 -851542.989216 -863481.066205 -875194.196652 -886688.363066 -897969.726125 -909044.679777 -919919.917222 -930602.510034 -941100.003171 -951420.529164 -961572.945501 -971567.000036 -981413.530256 -991124.703506]"
"npv_dr","[-1913765.78504 -1361786.91022 -801352.91081 -624533.70243]"
"npv_h2scaled",-714741.363721
