family,winner_file,winner_rev,winner_batch_date,n_files,superseded_revs,status
selenite_doc_update_session_prompts,SELENITE_DOC_UPDATE_SESSION_PROMPTS__1_.md,-,2026-04-05,3,,REFERENCE
selenite_document_inventory,SELENITE_DOCUMENT_INVENTORY.md,-,2026-04-04,1,,REFERENCE
selenite_eclss_circularity,selenite_eclss_circularity.html,-,2026-04-20,1,,AUTHORITATIVE
selenite_econ,SELENITE_ECON_V1_4.m,v1.4,2026-04-04,8,v1 v1.0 v1.1 v1.2 v1.3,AUTHORITATIVE
selenite_econ_v1_1_costs,SELENITE_ECON_v1_1_costs.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_1_environmental,SELENITE_ECON_v1_1_environmental.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_1_overview,SELENITE_ECON_v1_1_overview.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_1_sensitivity,SELENITE_ECON_v1_1_sensitivity.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_2_cargo_breakdown,SELENITE_ECON_v1_2_cargo_breakdown.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_2_environmental,SELENITE_ECON_v1_2_environmental.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_2_infrastructure,SELENITE_ECON_v1_2_infrastructure.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_2_overview,SELENITE_ECON_v1_2_overview.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_3_cargo,SELENITE_ECON_v1_3_cargo.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_3_environmental,SELENITE_ECON_v1_3_environmental.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_3_net_benefit,SELENITE_ECON_v1_3_net_benefit.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_3_overview,SELENITE_ECON_v1_3_overview.png,-,2026-04-04,1,,FIGURE
selenite_econ_v1_4_tornado,SELENITE_ECON_v1_4_tornado.png,-,2026-04-04,1,,FIGURE
selenite_extended_timeline,selenite_extended_timeline_v3_revised.html,v3+,2026-04-12,7,- v2 v3,AUTHORITATIVE
selenite_lh2_transport,selenite_lh2_transport_v4.pdf,v4,2026-04-20,2,,AUTHORITATIVE
selenite_madm,selenite_madm.html,-,2026-03-01,1,,OUT_OF_SCOPE
selenite_master,selenite_master_v2.html,v2,2026-02-22,2,-,OUT_OF_SCOPE
selenite_missing40,selenite_missing40.html,-,2026-02-22,1,,OUT_OF_SCOPE
selenite_programme__engineering_specifications_for_an_autonomous_lunar_base,Selenite_Programme__Engineering_Specifications_for_an_Autonomous_Lunar_Base.pdf,-,2026-03-01,1,,REFERENCE
